Assembly	assembly-scaffolds
# contigs (>= 0 bp)	59
# contigs (>= 1000 bp)	25
# contigs (>= 5000 bp)	22
# contigs (>= 10000 bp)	21
# contigs (>= 25000 bp)	18
# contigs (>= 50000 bp)	17
Total length (>= 0 bp)	5591459
Total length (>= 1000 bp)	5583119
Total length (>= 5000 bp)	5575605
Total length (>= 10000 bp)	5570203
Total length (>= 25000 bp)	5525041
Total length (>= 50000 bp)	5477452
# contigs	26
Largest contig	2033776
Total length	5584008
GC (%)	57.85
N50	749543
N90	83610
auN	1011970.8
L50	3
L90	11
# N's per 100 kbp	7.16
