All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    scaffolds
# contigs (>= 0 bp)         72       
# contigs (>= 1000 bp)      31       
# contigs (>= 5000 bp)      23       
# contigs (>= 10000 bp)     19       
# contigs (>= 25000 bp)     17       
# contigs (>= 50000 bp)     16       
Total length (>= 0 bp)      5558450  
Total length (>= 1000 bp)   5547674  
Total length (>= 5000 bp)   5532585  
Total length (>= 10000 bp)  5503117  
Total length (>= 25000 bp)  5460742  
Total length (>= 50000 bp)  5414759  
# contigs                   33       
Largest contig              1832242  
Total length                5548950  
GC (%)                      57.86    
N50                         745747   
N90                         130188   
auN                         890624.2 
L50                         3        
L90                         11       
# N's per 100 kbp           7.21     
