# locus_id	locus_tag	location	classification	internal_stop	indel	ref_id	description	query_cov	ref_cov	identity
MGA_40	LOCUS_00390	sequence01:46188..47237(-)	frameshift,internal_stop_codon	46557..46559(-)	46481,46574	WP_005813072.1	MFS transporter	97.1	81.2	28.3
MGA_43	LOCUS_00420	sequence01:49481..50440(+)	frameshift		50407	WP_014206856.1	MFS transporter	93.4	67.9	79.5
MGA_44	LOCUS_00430	sequence01:50389..50814(+)	frameshift		50407	WP_014206856.1	MFS transporter	85.8	27.6	57.0
MGA_48	LOCUS_00470	sequence01:53280..54017(+)	partial			WP_011707473.1	NUDIX hydrolase	51.4	61.8	29.0
MGA_84	LOCUS_00820	sequence01:91434..91793(-)	partial			WP_005767716.1	DUF1289 domain-containing protein	43.7	82.5	94.2
MGA_119	LOCUS_01170	sequence01:124431..125834(-)	partial			WP_000273909.1	AAA family ATPase	55.7	43.1	29.8
MGA_126	LOCUS_01240	sequence01:130644..130985(-)	partial			WP_011268558.1	helix-hairpin-helix domain-containing protein	70.8	66.7	78.8
MGA_145	LOCUS_01430	sequence01:152926..153687(+)	frameshift		152857	WP_005766730.1	GGDEF domain-containing protein	100.0	82.1	85.4
MGA_212	LOCUS_02100	sequence01:224236..224871(-)	internal_stop_codon	224923..224925(-)		WP_164996137.1	anti-phage dCTP deaminase	78.7	28.4	55.0
MGA_213	LOCUS_02110	sequence01:224923..226038(-)	internal_stop_codon	224923..224925(-)		WP_164996137.1	anti-phage dCTP deaminase	98.4	66.8	34.7
MGA_217	LOCUS_02150	sequence01:229621..229974(+)	frameshift,internal_stop_codon	229594..229596(+)	229950	WP_011103651.1	Bro-N domain-containing protein	94.0	57.6	96.4
MGA_223	LOCUS_02210	sequence01:232617..233792(-)	partial			WP_011268615.1	hypothetical protein	75.2	65.8	80.5
MGA_237	LOCUS_02350	sequence01:256177..258945(-)	partial			WP_011030298.1	polysaccharide lyase 8 family protein	54.8	66.5	25.1
MGA_246	LOCUS_02440	sequence01:266869..267027(+)	partial			WP_002552554.1	DUF3309 family protein	63.5	63.5	75.8
MGA_247	LOCUS_02450	sequence01:267139..268152(-)	frameshift		268213	WP_003402531.1	cation acetate symporter	100.0	61.1	95.0
MGA_248	LOCUS_02460	sequence01:268046..268807(-)	frameshift		268213	WP_010202721.1	cation acetate symporter	78.3	35.9	98.5
MGA_258	LOCUS_02560	sequence01:277851..278384(-)	partial			WP_011103631.1	hypothetical protein	67.8	41.7	59.5
MGA_285	LOCUS_02830	sequence01:301492..302406(-)	partial			WP_011268657.1	MFS transporter	95.7	69.3	83.8
MGA_294	LOCUS_02920	sequence01:311787..312197(+)	frameshift		311644	WP_011103600.1	XopAF/AvrXv3 family type III secretion system effector	99.3	47.5	93.3
MGA_296	LOCUS_02940	sequence01:313582..313839(-)	frameshift,internal_stop_codon	313512..313514(-)	313834,313499	WP_086004200.1	IS3 family transposase	48.2	10.3	78.0
MGA_316	LOCUS_03140	sequence01:347034..347939(+)	partial			WP_011104876.1	type III helper protein HopAK1	99.7	54.1	87.7
MGA_349	LOCUS_03470	sequence01:377751..379019(+)	partial			WP_125913381.1	Ig-like domain-containing protein	31.0	48.2	36.6
MGA_369	LOCUS_03670	sequence01:397889..398113(-)	partial			WP_003405455.1	hypothetical protein	52.7	52.1	92.3
MGA_409	LOCUS_04070	sequence01:438664..438954(+)	frameshift,internal_stop_codon	438952..438954(+)	439116	WP_011104900.1	hypothetical protein	100.0	42.5	52.1
MGA_411	LOCUS_04090	sequence01:440375..440713(-)	frameshift		440757	WP_046463415.1	hypothetical protein	100.0	37.5	69.0
MGA_412	LOCUS_04100	sequence01:440737..441276(-)	frameshift		440757	WP_046463415.1	hypothetical protein	96.6	57.5	65.3
MGA_461	LOCUS_04590	sequence01:491441..491926(-)	partial			WP_011104916.1	lipoprotein	61.5	65.1	59.6
MGA_503	LOCUS_05010	sequence01:549168..549386(-)	partial			WP_005768677.1	hypothetical protein	68.1	71.0	93.9
MGA_514	LOCUS_05120	sequence01:559653..559898(-)	partial			WP_005768657.1	PilZ domain-containing protein	100.0	68.1	80.2
MGA_530	LOCUS_05280	sequence01:574655..575434(-)	partial			WP_011268816.1	hypothetical protein	59.8	59.7	71.6
MGA_560	LOCUS_05580	sequence01:606510..607361(+)	partial			WP_011105289.1	DUF2875 family protein	97.5	49.8	90.2
MGA_563	LOCUS_05610	sequence01:609974..610951(+)	partial			WP_074594919.1	DUF2875 family protein	100.0	62.5	90.5
MGA_576	LOCUS_05740	sequence01:623600..623881(+)	partial			WP_003377653.1	DciA family protein	97.8	60.3	92.3
MGA_798	LOCUS_07960	sequence01:867060..867770(-)	partial			WP_011268973.1	hypothetical protein	100.0	61.6	89.1
MGA_850	LOCUS_08480	sequence01:920440..921831(+)	partial			WP_011268998.1	contractile injection system protein, VgrG/Pvc8 family	38.9	50.1	70.8
MGA_975	LOCUS_09730	sequence01:1067871..1068110(-)	partial			WP_002551796.1	DUF1249 domain-containing protein	82.3	43.3	98.5
MGA_1136	LOCUS_11340	sequence01:1265755..1266537(-)	partial			WP_011105337.1	phasin family protein	74.2	73.2	66.0
MGA_1184	LOCUS_11820	sequence01:1320167..1320442(-)	partial			WP_003397550.1	hypothetical protein	69.2	81.8	77.8
MGA_1185	LOCUS_11830	sequence01:1320446..1321255(-)	partial			WP_046463879.1	RHS repeat-associated core domain-containing protein	37.9	38.9	87.3
MGA_1193	LOCUS_11910	sequence01:1330817..1331296(+)	frameshift		1331266	WP_046463433.1	GAD-like domain-containing protein	95.0	73.7	51.0
MGA_1196	LOCUS_11940	sequence01:1333260..1333967(-)	partial			WP_011266329.1	hypothetical protein	100.0	60.1	94.9
MGA_1219	LOCUS_12170	sequence01:1354413..1355435(+)	internal_stop_codon	1355433..1355435(+)		WP_011105384.1	S-type pyocin domain-containing protein	100.0	51.0	81.2
MGA_1220	LOCUS_12180	sequence01:1355652..1355939(+)	internal_stop_codon	1355433..1355435(+)		WP_011105384.1	S-type pyocin domain-containing protein	97.9	14.2	55.9
