# locus_id	locus_tag	location	classification	internal_stop	indel	ref_id	description	query_cov	ref_cov	identity
MGA_19	LOCUS_00190	sequence01:19291..20694(-)	partial			WP_000273909.1	AAA family ATPase	55.7	43.1	29.8
MGA_26	LOCUS_00260	sequence01:25504..25845(-)	partial			WP_011268558.1	helix-hairpin-helix domain-containing protein	70.8	66.7	78.8
MGA_45	LOCUS_00450	sequence01:47786..48547(+)	frameshift		47717	WP_005766730.1	GGDEF domain-containing protein	100.0	82.1	85.4
MGA_112	LOCUS_01120	sequence01:119096..119731(-)	internal_stop_codon	119783..119785(-)		WP_164996137.1	anti-phage dCTP deaminase	78.7	28.4	55.0
MGA_113	LOCUS_01130	sequence01:119783..120898(-)	internal_stop_codon	119783..119785(-)		WP_164996137.1	anti-phage dCTP deaminase	98.4	66.8	34.7
MGA_117	LOCUS_01170	sequence01:124481..124834(+)	frameshift,internal_stop_codon	124454..124456(+)	124810	WP_011103651.1	Bro-N domain-containing protein	94.0	57.6	96.4
MGA_123	LOCUS_01230	sequence01:127477..128652(-)	partial			WP_011268615.1	hypothetical protein	75.2	65.8	80.5
MGA_137	LOCUS_01370	sequence01:151037..153805(-)	partial			WP_011030298.1	polysaccharide lyase 8 family protein	54.8	66.5	25.1
MGA_146	LOCUS_01460	sequence01:161729..161887(+)	partial			WP_002552554.1	DUF3309 family protein	63.5	63.5	75.8
MGA_147	LOCUS_01470	sequence01:161999..163012(-)	frameshift		163073	WP_003402531.1	cation acetate symporter	100.0	61.1	95.0
MGA_148	LOCUS_01480	sequence01:162906..163667(-)	frameshift		163073	WP_010202721.1	cation acetate symporter	78.3	35.9	98.5
MGA_158	LOCUS_01580	sequence01:172711..173244(-)	partial			WP_011103631.1	hypothetical protein	67.8	41.7	59.5
MGA_185	LOCUS_01850	sequence01:196352..197266(-)	partial			WP_011268657.1	MFS transporter	95.7	69.3	83.8
MGA_194	LOCUS_01940	sequence01:206647..207057(+)	frameshift		206504	WP_011103600.1	XopAF/AvrXv3 family type III secretion system effector	99.3	47.5	93.3
MGA_196	LOCUS_01960	sequence01:208442..208699(-)	frameshift,internal_stop_codon	208372..208374(-)	208694,208359	WP_086004200.1	IS3 family transposase	48.2	10.3	78.0
MGA_216	LOCUS_02160	sequence01:241894..242799(+)	partial			WP_011104876.1	type III helper protein HopAK1	99.7	54.1	87.7
MGA_249	LOCUS_02490	sequence01:272611..273879(+)	partial			WP_125913381.1	Ig-like domain-containing protein	31.0	48.2	36.6
MGA_269	LOCUS_02690	sequence01:292749..292973(-)	partial			WP_003405455.1	hypothetical protein	52.7	52.1	92.3
MGA_309	LOCUS_03090	sequence01:333524..333814(+)	frameshift,internal_stop_codon	333812..333814(+)	333976	WP_011104900.1	hypothetical protein	100.0	42.5	52.1
MGA_311	LOCUS_03110	sequence01:335235..335573(-)	frameshift		335617	WP_046463415.1	hypothetical protein	100.0	37.5	69.0
MGA_312	LOCUS_03120	sequence01:335597..336136(-)	frameshift		335617	WP_046463415.1	hypothetical protein	96.6	57.5	65.3
MGA_361	LOCUS_03610	sequence01:386301..386786(-)	partial			WP_011104916.1	lipoprotein	61.5	65.1	59.6
MGA_403	LOCUS_04030	sequence01:444028..444246(-)	partial			WP_005768677.1	hypothetical protein	68.1	71.0	93.9
MGA_414	LOCUS_04140	sequence01:454513..454758(-)	partial			WP_005768657.1	PilZ domain-containing protein	100.0	68.1	80.2
MGA_430	LOCUS_04300	sequence01:469515..470294(-)	partial			WP_011268816.1	hypothetical protein	59.8	59.7	71.6
MGA_460	LOCUS_04600	sequence01:501370..502221(+)	partial			WP_011105289.1	DUF2875 family protein	97.5	49.8	90.2
MGA_463	LOCUS_04630	sequence01:504834..505811(+)	partial			WP_074594919.1	DUF2875 family protein	100.0	62.5	90.5
MGA_476	LOCUS_04760	sequence01:518460..518741(+)	partial			WP_003377653.1	DciA family protein	97.8	60.3	92.3
